Id,Titre,Domaine,Description,DescriptionLongue,Fiabilite,Proprietaire,Frequence,Source,LienSharePoint,NombreUsages
1,PRESTATIONS_EMISE,Prestation,Table de faits des prestations servies aux assures,"Contient l'ensemble des prestations versees aux 4 branches CNPS (PF, ATMP, RETRAITE, AM) agregees au mois. Alimentee depuis SECU via extraction DSI. Sert de base au rapprochement DSA/DCG. Liaisons : ASSURE_ID -> DIM_ASSURE (Id 2) ; DATE_ID -> DIM_DATE (Id 15) ; BRANCHE -> DIM_BRANCHE (Id 16). Agregee par AGG_PRESTATIONS_SOMMES (Id 6).",Certifiée,Equipe Data Actuariat (DSA),Mensuelle,SECU (extraction DSI),https://cicnps.sharepoint.com/sites/dsa/Prestations/Forms/AllItems.aspx?viewid=bf385c5f%2D4319%2D42ef%2Db9b9%2D652de70b03c2&npsAction=createList,45
2,DIM_ASSURE,Prestation,Referentiel des assures actifs et inactifs,"Dimension assures issue du fichier adherents CNPS. Contient les informations d'identification et d'affiliation. Mise a jour quotidienne. Liaisons entrantes : referencee par PRESTATIONS_EMISE (Id 1), COTISATIONS_PERCUES (Id 3), SALARIES_EN_ACTIVITE (Id 5) via ASSURE_ID.",Certifiée,Equipe Affiliation,Quotidienne,Fichier Adherents CNPS,https://cicnps.sharepoint.com/sites/dsa/Prestations/Forms/AllItems.aspx?viewid=bf385c5f%2D4319%2D42ef%2Db9b9%2D652de70b03c2&npsAction=createList,38
3,COTISATIONS_PERCUES,Cotisation,Table de faits des cotisations percues,"Cotisations collectees par periode et par branche (PF, ATMP, RETRAITE, AM). Alimentee depuis e-interface (application comptable, source des etats financiers DCG). Liaisons : ASSURE_ID -> DIM_ASSURE (Id 2) ; EMPNUM -> EMPLOYEURS_ACTIFS (Id 4) ; DATE_ID -> DIM_DATE (Id 15) ; BRANCHE -> DIM_BRANCHE (Id 16).",Certifiée,Equipe Comptabilite (DCG),Mensuelle,e-interface,https://cicnps.sharepoint.com/sites/dsa/Cotisations/Forms/AllItems.aspx?npsAction=createList,22
4,EMPLOYEURS_ACTIFS,Recouvrement,Referentiel des employeurs affilies,"Dimension employeurs identifies par leur numero employeur CNPS (EMPNUM, cle metier). Contient raison sociale, code secteur d'activite, effectifs declares et agence de rattachement. Liaisons : AGCODE -> DIM_AGENCE (Id 14). Referencee par COTISATIONS_PERCUES (Id 3), SALARIES_EN_ACTIVITE (Id 5) et les tables DEBITS/MAJORATIONS (Id 7-12) via EMPNUM.",Non vérifiée,Non assigne,Manuelle,Import manuel,,8
5,SALARIES_EN_ACTIVITE,Immatriculation,Donnees salariales et effectifs par periode,Masse salariale et effectifs declares par les employeurs. Utilise pour le calcul des cotisations theoriques. Liaisons : ASSURE_ID -> DIM_ASSURE (Id 2) ; EMPNUM -> EMPLOYEURS_ACTIFS (Id 4) ; DATE_ID -> DIM_DATE (Id 15).,Certifiée,Equipe Data RH,Mensuelle,Declarations employeurs,,31
6,AGG_PRESTATIONS_SOMMES,Prestation,Agregation mensuelle des prestations par type,Table agregee pour le reporting mensuel. Calculee depuis PRESTATIONS_EMISE (Id 1). Liaisons : DATE_ID -> DIM_DATE (Id 15) ; BRANCHE -> DIM_BRANCHE (Id 16).,Certifiée,Equipe Data Actuariat (DSA),Mensuelle,Calculee depuis PRESTATIONS_EMISE,https://cicnps.sharepoint.com/sites/dsa/Prestations/Forms/AllItems.aspx?viewid=bf385c5f%2D4319%2D42ef%2Db9b9%2D652de70b03c2&npsAction=createList,52
7,DEBITS_RECUS_ANTERIEUR_AUTRES,Cotisation,"Debits recus 2025 — exercice anterieur, cotisations autres","Extraction annuelle 2025 des debits de cotisations recus au titre de l'exercice anterieur, pour les cotisations autres que la cotisation principale. Detail par agence, employeur et periode. Fichier source : DEBITS RECUS DU 01012025 AU 31122025 ANTERIEUR COT AUTRES DETAIL PAR AGENCE.xlsx. Liaisons : EMPNUM -> EMPLOYEURS_ACTIFS (Id 4) ; AGCODE -> DIM_AGENCE (Id 14).",Certifiée,Equipe Data Actuariat (DSA),Annuelle,SECU (extraction DSI),https://cicnps.sharepoint.com/sites/dsa/Cotisations/Forms/AllItems.aspx?npsAction=createList,0
8,DEBITS_RECUS_ANTERIEUR_PRINCIPAL,Cotisation,"Debits recus 2025 — exercice anterieur, cotisation principale","Extraction annuelle 2025 des debits de cotisation principale recus au titre de l'exercice anterieur. Detail par agence, employeur et periode. Fichier source : DEBITS RECUS DU 01012025 AU 31122025 ANTERIEUR COT PRINCIPAL DETAIL PAR AGENCE.xlsx. Liaisons : EMPNUM -> EMPLOYEURS_ACTIFS (Id 4) ; AGCODE -> DIM_AGENCE (Id 14).",Certifiée,Equipe Data Actuariat (DSA),Annuelle,SECU (extraction DSI),https://cicnps.sharepoint.com/sites/dsa/Cotisations/Forms/AllItems.aspx?npsAction=createList,0
9,DEBITS_RECUS_ENCOURS_AUTRES,Cotisation,"Debits recus 2025 — exercice en cours, cotisations autres","Extraction annuelle 2025 des debits de cotisations recus au titre de l'exercice en cours, pour les cotisations autres que la cotisation principale. Detail par agence, employeur et periode. Fichier source : DEBITS RECUS DU 01012025 AU 31122025 ENCOURS COT AUTRES DETAIL PAR AGENCE.xlsx. Liaisons : EMPNUM -> EMPLOYEURS_ACTIFS (Id 4) ; AGCODE -> DIM_AGENCE (Id 14).",Certifiée,Equipe Data Actuariat (DSA),Annuelle,SECU (extraction DSI),https://cicnps.sharepoint.com/sites/dsa/Cotisations/Forms/AllItems.aspx?npsAction=createList,0
10,DEBITS_RECUS_ENCOURS_PRINCIPAL,Cotisation,"Debits recus 2025 — exercice en cours, cotisation principale","Extraction annuelle 2025 des debits de cotisation principale recus au titre de l'exercice en cours. Detail par agence, employeur et periode. Fichier source : DEBITS RECUS DU 01012025 AU 31122025 ENCOURS COT PRINCIPAL DETAIL PAR AGENCE.xlsx. Liaisons : EMPNUM -> EMPLOYEURS_ACTIFS (Id 4) ; AGCODE -> DIM_AGENCE (Id 14).",Certifiée,Equipe Data Actuariat (DSA),Annuelle,SECU (extraction DSI),https://cicnps.sharepoint.com/sites/dsa/Cotisations/Forms/AllItems.aspx?npsAction=createList,0
